68134, 118, 'В.З.', 'КИНОЦЕНТЪР', 'в.з. КИНОЦЕНТЪР', 'V.Z.', 'KINOTSENTAR', 'v.z. KINOTSENTAR'
68134, 119, 'В.З.', 'МАЛИНОВА ДОЛИНА', 'в.з. МАЛИНОВА ДОЛИНА', 'V.Z.', 'MALINOVA DOLINA', 'v.z. MALINOVA DOLINA'
68134, 121, 'В.З.', 'СИМЕОНОВО-ДРАГАЛЕВЦИ', 'в.з. СИМЕОНОВО-ДРАГАЛЕВЦИ', 'V.Z.', 'SIMEONOVO-DRAGALEVTSI', 'v.z. SIMEONOVO-DRAGALEVTSI'
68134, 124, '', 'БАН', ' БАН', '', 'BAN', ' BAN'
68134, 127, 'МАХ.', 'БАТАРЕЯТА', 'мах. БАТАРЕЯТА', 'MAH.', 'BATAREYATA', 'mah. BATAREYATA'
68134, 128, 'МАХ.', 'ЯПАДЖА', 'мах. ЯПАДЖА', 'MAH.', 'YAPADZHA', 'mah. YAPADZHA'
68134, 129, 'КВ.', 'ГАРА ИЛИЯНЦИ', 'кв. ГАРА ИЛИЯНЦИ', 'KV.', 'GARA ILIYANTSI', 'kv. GARA ILIYANTSI'
68134, 131, '', 'ЖП СПИРКА ХРИСТО СМИРНЕНСКИ', ' ЖП СПИРКА ХРИСТО СМИРНЕНСКИ', '', 'ZHP SPIRKA HRISTO SMIRNENSKI', ' ZHP SPIRKA HRISTO SMIRNENSKI'
68134, 133, 'КВ.', 'БАКЪРЕНА ФАБРИКА', 'кв. БАКЪРЕНА ФАБРИКА', 'KV.', 'BAKARENA FABRIKA', 'kv. BAKARENA FABRIKA'
68134, 134, 'ЖК', 'ЕМИЛ МАРКОВ', 'жк ЕМИЛ МАРКОВ', 'ZHK', 'EMIL MARKOV', 'zhk EMIL MARKOV'
68134, 135, 'ЖК', 'ВЪЛЧО ИВАНОВ', 'жк ВЪЛЧО ИВАНОВ', 'ZHK', 'VALCHO IVANOV', 'zhk VALCHO IVANOV'
68134, 136, 'ЖК', 'ХРИСТО МИХАЙЛОВ', 'жк ХРИСТО МИХАЙЛОВ', 'ZHK', 'HRISTO MIHAYLOV', 'zhk HRISTO MIHAYLOV'
68134, 138, 'ЖК', 'СУХОДОЛСКА 2', 'жк СУХОДОЛСКА 2', 'ZHK', 'SUHODOLSKA 2', 'zhk SUHODOLSKA 2'
68134, 139, 'ЖК', 'ЧЕРВЕНА ЗВЕЗДА', 'жк ЧЕРВЕНА ЗВЕЗДА', 'ZHK', 'CHERVENA ZVEZDA', 'zhk CHERVENA ZVEZDA'
68134, 140, 'ЖК', 'ТОЛСТОЙ', 'жк ТОЛСТОЙ', 'ZHK', 'TOLSTOY', 'zhk TOLSTOY'
68134, 141, 'ЖК', '9-ТИ СЕПТЕМВРИ', 'жк 9-ТИ СЕПТЕМВРИ', 'ZHK', '9-TI SEPTEMVRI', 'zhk 9-TI SEPTEMVRI'
68134, 142, 'ЖК', 'ЛЕНИН', 'жк ЛЕНИН', 'ZHK', 'LENIN', 'zhk LENIN'
68134, 143, 'КВ.', 'ВОЕННА РАМПА', 'кв. ВОЕННА РАМПА', 'KV.', 'VOENNA RAMPA', 'kv. VOENNA RAMPA'
68134, 144, 'КВ.', 'БОТУНЕЦ', 'кв. БОТУНЕЦ', 'KV.', 'BOTUNETS', 'kv. BOTUNETS'
68134, 145, 'КВ.', 'КРЕМИКОВЦИ', 'кв. КРЕМИКОВЦИ', 'KV.', 'KREMIKOVTSI', 'kv. KREMIKOVTSI'
68134, 146, 'П.З.', 'КРЕМИКОВЦИ', 'п.з. КРЕМИКОВЦИ', 'P.Z.', 'KREMIKOVTSI', 'p.z. KREMIKOVTSI'
68134, 147, 'КВ.', 'СЕСЛАВЦИ', 'кв. СЕСЛАВЦИ', 'KV.', 'SESLAVTSI', 'kv. SESLAVTSI'
68134, 148, 'КВ.', 'ТРЕБИЧ', 'кв. ТРЕБИЧ', 'KV.', 'TREBICH', 'kv. TREBICH'
68134, 151, 'В.З.', 'ЧЕРНИЯ КОС', 'в.з. ЧЕРНИЯ КОС', 'V.Z.', 'CHERNIA KOS', 'v.z. CHERNIA KOS'
